"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","HTTP","",""
"pre_128cipher","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","No 128 cipher limit bug","",""
"SSLv2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not offered","",""
"SSLv3","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not offered","",""
"TLS1","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered","",""
"TLS1_1","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered","",""
"TLS1_2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","offered","",""
"TLS1_3","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","h2","",""
"ALPN","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","http/1.1","",""
"cipherlist_NULL","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not offered","","CWE-327"
"cipherlist_LOW","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered","",""
"cipherlist_STRONG_FS","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","offered","",""
"cipher_order-tls1_2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","server","",""
"cipherorder_TLSv1_2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","server","",""
"FS","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","offered","",""
"FS_ciphers","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","prime256v1","",""
"TLS_extensions","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'renegotiation info/#65281'","",""
"TLS_session_ticket","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","yes","",""
"sessionresumption_ticket","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not supported","",""
"sessionresumption_ID","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","supported","",""
"TLS_timestamp","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","random","",""
"cert_compression","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","N/A","",""
"clientAuth","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","none","",""
"cert_numbers","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","1","",""
"cert_signatureAlgorithm","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","ECDSA with SHA384","",""
"cert_keySize","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","Digital Signature","",""
"cert_extKeyUsage","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","06C2675D08AF1A5B2C6E0F6895F04D90D9F2","",""
"cert_serialNumberLen","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","18","",""
"cert_fingerprintSHA1","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","CF40DE66F22FAC5B55A000FEC35F3BAE1AC5CF86","",""
"cert_fingerprintSHA256","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","F9A0FDE36BBF9553E18C4B04A4EB0445612602472C61C3F09CCD3EF846D3B18E","",""
"cert","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","-----BEGIN CERTIFICATE-----\nMIIDsDCCAzWgAwIBAgISBsJnXQivGlssbg9olfBNkNnyMAoGCCqGSM49BAMDMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJFNTAeFw0yNTA1MjYwOTEzMjlaFw0yNTA4MjQwOTEzMjhaMCsxKTAnBgNVBAMTIGRpYWdjcHMuZXNlcnZpY2VzLmVzYW50ZS5nb3V2LmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAEMIovnlWK9vy27McYLx8nMeXcTveq9wwDaB+77rI1/MTXUnf1Ek6+D9otQIAbGZlJDTUh2nI6CKZEQi8SKoAFRqOCAjAwggIsMA4GA1UdDwEB/wQEAwIHgDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUOGqN24+sT+IawjhVsIP2Hvc3ejwwHwYDVR0jBBgwFoAUnytfzzwhT50Et+0rLMTGcIvS1w0wMgYIKwYBBQUHAQEEJjAkMCIGCCsGAQUFBzAChhZodHRwOi8vZTUuaS5sZW5jci5vcmcvMCsGA1UdEQQkMCKCIGRpYWdjcHMuZXNlcnZpY2VzLmVzYW50ZS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMC4GA1UdHwQnMCUwI6AhoB+GHWh0dHA6Ly9lNS5jLmxlbmNyLm9yZy8xMTUuY3JsMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcA3dzKNJXX4RYF55Uy+sef+D0cUN/bADoUEnYKLKy7yCoAAAGXDBPluQAABAMASDBGAiEAxeTycQmuRXdBUbNF2QPrQTL+aY5x8WD3PMqnlfEWkgkCIQCZAx04O7g0uxb/phZnXwxKV8eiWG1Wc84zeocKjclEJAB2AO08S9boBsKkogBX28sk4jgB31Ev7cSGxXAPIN23Pj/gAAABlwwT7UsAAAQDAEcwRQIgRtUgIQ870j5graoEGXqG7qdk5bsYdlZZOFy9eXn4eb8CIQCNh5HfKhQwjTKvkH8IEXDhQr7tUbZV5Kw2/UiOu3901TAKBggqhkjOPQQDAwNpADBmAjEA16C+jJufhgzrJ43gnMP7Se2AcL2cSBebDYShxpQQZfTVufsv8fOvaAo2oSquODXxAjEA+PYd1aRcePk9cIUNY1mff0g23nPEK2wSPZuc3hfl4QHCr9Nou4LbH2Afb/IKtpFC\n-----END CERTIFICATE-----","",""
"cert_commonName","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","diagcps.eservices.esante.gouv.fr","",""
"cert_commonName_wo_SNI","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","api.diagcps.eservices.esante.gouv.fr","",""
"cert_subjectAltName","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","diagcps.eservices.esante.gouv.fr","",""
"cert_trust","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","passed.","",""
"cert_certificatePolicies_EV","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","no","",""
"cert_expirationStatus","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","70 >= 30 days","",""
"cert_notBefore","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","2025-05-26 09:13","",""
"cert_notAfter","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","2025-08-24 09:13","",""
"cert_extlifeSpan","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not present","",""
"cert_crlDistributionPoints","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","http://e5.c.lencr.org/115.crl","",""
"cert_ocspURL","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","--","",""
"OCSP_stapling","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","not offered","",""
"cert_mustStapleExtension","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","--","",""
"DNS_CAArecord","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","LOW","--","",""
"certificate_transparency","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","yes (certificate extension)","",""
"certs_countServer","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","2","",""
"certs_list_ordering_problem","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","no","",""
"cert_caIssuers","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","E5 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEVzCCAj+gAwIBAgIRAIOPbGPOsTmMYgZigxXJ/d4wDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjQwMzEzMDAwMDAwWhcNMjcwMzEyMjM1OTU5WjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCRTUwdjAQBgcqhkjOPQIBBgUrgQQAIgNiAAQNCzqKa2GOtu/cX1jnxkJFVKtj9mZhSAouWXW0gQI3ULc/FnncmOyhKJdyIBwsz9V8UiBOVHhbhBRrwJCuhezAUUE8Wod/Bk3U/mDR+mwt4X2VEIiiCFQPmRpM5uoKrNijgfgwgfUwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMCBggrBgEFBQcDATASBgNVHRMBAf8ECDAGAQH/AgEAMB0GA1UdDgQWBBSfK1/PPCFPnQS37SssxMZwi9LXDTAfBgNVHSMEGDAWgBR5tFnme7bl5AFzgAiIyBpY9umbbjAyBggrBgEFBQcBAQQmMCQwIgYIKwYBBQUHMAKGFmh0dHA6Ly94MS5pLmxlbmNyLm9yZy8wEwYDVR0gBAwwCjAIBgZngQwBAgEwJwYDVR0fBCAwHjAcoBqgGIYWaHR0cDovL3gxLmMubGVuY3Iub3JnLzANBgkqhkiG9w0BAQsFAAOCAgEAH3KdNEVCQdqk0LKyuNImTKdRJY1C2uw2SJajuhqkyGPY8C+zzsufZ+mgnhnq1A2KVQOSykOEnUbx1cy637rBAihx97r+bcwbZM6sTDIaEriR/PLk6LKs9Be0uoVxgOKDcpG9svD33J+G9Lcfv1K9luDmSTgG6XNFIN5vfI5gs/lMPyojEMdIzK9blcl2/1vKxO8WGCcjvsQ1nJ/Pwt8LQZBfOFyVXP8ubAp/au3dc4EKWG9MO5zcx1qT9+NXRGdVWxGvmBFRAajciMfXME1ZuGmk3/GOkoAM7ZkjZmleyokP1LGzmfJcUd9s7eeu1/9/eg5XlXd/55GtYjAM+C4DG5i7eaNqcm2F+yxYIPt6cbbtYVNJCGfHWqHEQ4FYStUyFnv8sjyqU8ypgZaNJ9aVcWSICLOIE1/Qv/7oKsnZCWJ926wU6RqG1OYPGOi1zuABhLw61cuPVDT28nQS/e6z95cJXq0eK1BcaJ6fJZsmbjRgD5p3mvEf5vdQM7MCEvU0tHbsx2I5mHHJoABHb8KVBgWp/lcXGWiWaeOyB7RP+OfDtvi2OsapxXiV7vNVs7fMlrRjY1joKaqmmycnBvAq14AEbtyLsVfOS66B8apkeFX2NY4XPEYV4ZSCe8VHPrdrERk2wILG3T/EGmSIkCYVUMSnjmJdVQD9F6Na/+zmXCc=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","5DFDB3CF31B26F23D87C09F3A0CEF642F64069A9FB7CFE29270BB5DC0F1E16BB","",""
"intermediate_cert_notBefore <#1>","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","2024-03-13 00:00","",""
"intermediate_cert_notAfter <#1>","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","2027-03-12 23:59","",""
"intermediate_cert_expiration <#1>","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","E5 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","301 Moved Permanently ('/')","",""
"HTTP_clock_skew","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","1749953293","",""
"HSTS_time","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","includes subdomains","",""
"HSTS_preload","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","domain is NOT marked for preloading","",""
"HPKP","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","nginx/1.24.0 (Ubuntu)","",""
"banner_application","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","No application banner found","",""
"cookie_count","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"X-Frame-Options","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","DENY","",""
"X-Content-Type-Options","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","nosniff","",""
"Referrer-Policy","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","strict-origin-when-cross-origin","",""
"banner_reverseproxy","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","--","","CWE-200"
"heartbleed","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","supported","","CWE-310"
"secure_client_renego","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable, no gzip/deflate/compress/br HTTP compression  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","no RSA certificate, can't be used with SSLv2 elsewhere","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2013-0169","CWE-310"
"winshock","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable - doesn't seem to be IIS 8.x","CVE-2014-6321","CWE-94"
"RC4","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_70","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_X","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_11_12","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_13_14","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-android_15","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-chrome_101_win10","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-chromium_137_win11","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-firefox_100_win10","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-firefox_137_win11","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_8_win7","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win81","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_winphone81","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-ie_11_win10","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_133_win11_23h2","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_184_ios_184","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_154_osx_1231","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-safari_184_osx_154","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-java_7u25","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","No connection","",""
"clientsimulation-java_80442","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-java_1102","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-java_1703","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-java_2106","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-go_1178","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-libressl_336","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_102e","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_315","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_350","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-apple_mail_16_0","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","TLSv1.2 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"rating_spec","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","diagcps.eservices.esante.gouv.fr/51.15.255.124","443","INFO","100","",""
