"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mssante.fr/51.178.173.194","443","INFO","HTTP","",""
"pre_128cipher","mssante.fr/51.178.173.194","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mssante.fr/51.178.173.194","443","OK","not offered","",""
"SSLv3","mssante.fr/51.178.173.194","443","OK","not offered","",""
"TLS1","mssante.fr/51.178.173.194","443","INFO","not offered","",""
"TLS1_1","mssante.fr/51.178.173.194","443","INFO","not offered","",""
"TLS1_2","mssante.fr/51.178.173.194","443","OK","offered","",""
"TLS1_3","mssante.fr/51.178.173.194","443","OK","offered with final","",""
"ALPN","mssante.fr/51.178.173.194","443","INFO","http/1.1","",""
"cipherlist_NULL","mssante.fr/51.178.173.194","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mssante.fr/51.178.173.194","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mssante.fr/51.178.173.194","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mssante.fr/51.178.173.194","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mssante.fr/51.178.173.194","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mssante.fr/51.178.173.194","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mssante.fr/51.178.173.194","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mssante.fr/51.178.173.194","443","OK","offered","",""
"cipher_order-tls1_2","mssante.fr/51.178.173.194","443","OK","server","",""
"cipherorder_TLSv1_2","mssante.fr/51.178.173.194","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","mssante.fr/51.178.173.194","443","OK","server","",""
"FS","mssante.fr/51.178.173.194","443","OK","offered","",""
"FS_ciphers","mssante.fr/51.178.173.194","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","mssante.fr/51.178.173.194","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","mssante.fr/51.178.173.194","443","INFO","'server name/#0' 'max fragment length/#1' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","mssante.fr/51.178.173.194","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","mssante.fr/51.178.173.194","443","INFO","yes","",""
"sessionresumption_ticket","mssante.fr/51.178.173.194","443","INFO","supported","",""
"sessionresumption_ID","mssante.fr/51.178.173.194","443","INFO","supported","",""
"TLS_timestamp","mssante.fr/51.178.173.194","443","INFO","random","",""
"certificate_compression","mssante.fr/51.178.173.194","443","INFO","none","",""
"clientAuth","mssante.fr/51.178.173.194","443","INFO","none","",""
"cert_numbers","mssante.fr/51.178.173.194","443","INFO","1","",""
"cert_signatureAlgorithm","mssante.fr/51.178.173.194","443","OK","SHA256 with RSA","",""
"cert_keySize","mssante.fr/51.178.173.194","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","mssante.fr/51.178.173.194","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","mssante.fr/51.178.173.194","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","mssante.fr/51.178.173.194","443","INFO","0E61296A6CD786E225A84A24F8B42B1A","",""
"cert_serialNumberLen","mssante.fr/51.178.173.194","443","INFO","16","",""
"cert_fingerprintSHA1","mssante.fr/51.178.173.194","443","INFO","1164C5044199E232F6C8528453F03EEAFC1A7F3F","",""
"cert_fingerprintSHA256","mssante.fr/51.178.173.194","443","INFO","072BA875E3749DABD476A11B9C9D5BCB2CA437AA8D6ED5C86DD25181A6FA1405","",""
"cert","mssante.fr/51.178.173.194","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGjDCCBXSgAwIBAgIQDmEpamzXhuIlqEok+LQrGjANBgkqhkiG9w0BAQsFADBeMQswCQYDVQQGEwJVUzEVMBMGA1UEChMMRGlnaUNlcnQgSW5jMRkwFwYDVQQLExB3d3cuZGlnaWNlcnQuY29tMR0wGwYDVQQDExRUaGF3dGUgVExTIFJTQSBDQSBHMTAeFw0yNTA0MDgwMDAwMDBaFw0yNjAzMjcyMzU5NTlaMIGKMQswCQYDVQQGEwJGUjEXMBUGA1UECAwOw45sZS1kZS1GcmFuY2UxHDAaBgNVBAcTE0lzc3ktbGVzLU1vdWxpbmVhdXgxLTArBgNVBAoTJENBUEdFTUlOSSBURUNITk9MT0dZIFNFUlZJQ0VTIFMuQS5TLjEVMBMGA1UEAwwMKi5tc3NhbnRlLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA08KeHGffZQKkXSGogjDYJFNBdoOx0kZlT4tIN7DrN4lhCkmvYxx4vpHpSuQ7otP6gd3BvtqusK6tBhC1M1sNHKupRYBZOsjk64sQSKbyq3F5Ib3HT+fZSd3GjNo1kBiCDL31hYXHZvrpPl1StiJ0/ZxUyZCjxl/wQ8GdTadYwBMoiOZtBREmM1zpqX25lj6lYyN/esI+gw3dxwgW0OnfvbTC7EUXfM5WwMMqgvvPrVRfaz1f9HDU3MbAWB4I5i0TI7n+YW36ThO5Xx2EWHhqvEQy+LYV8EGCl8roVbVN+lFaVjfx5rA/hVzRNttR7DF66lc8xdwPANIcrCFT1fBXvQIDAQABo4IDFzCCAxMwHwYDVR0jBBgwFoAUpYz+MszrDyzUGcYIuAAkiF3DxbcwHQYDVR0OBBYEFJ9jr3XBZXYi5OjvyQZk/j/r340wMCMGA1UdEQQcMBqCDCoubXNzYW50ZS5mcoIKbXNzYW50ZS5mcjA+BgNVHSAENzA1MDMGBmeBDAECAjApMCcGCCsGAQUFBwIBFhtodHRwOi8vd3d3LmRpZ2ljZXJ0LmNvbS9DUFMwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjA7BgNVHR8ENDAyMDCgLqAshipodHRwOi8vY2RwLnRoYXd0ZS5jb20vVGhhd3RlVExTUlNBQ0FHMS5jcmwwcAYIKwYBBQUHAQEEZDBiMCQGCCsGAQUFBzABhhhodHRwOi8vc3RhdHVzLnRoYXd0ZS5jb20wOgYIKwYBBQUHMAKGLmh0dHA6Ly9jYWNlcnRzLnRoYXd0ZS5jb20vVGhhd3RlVExTUlNBQ0FHMS5jcnQwDAYDVR0TAQH/BAIwADCCAX4GCisGAQQB1nkCBAIEggFuBIIBagFoAHYADleUvPOuqT4zGyyZB7P3kN+bwj1xMiXdIaklrGHFTiEAAAGWFRPipQAABAMARzBFAiEAwHvGiZHGzFSASbQKiRnvUtITcKrmbdSXd7rOH3ZSWcoCIHTIBsnM1LRbwogq6bXcMYoRSAvQUwgVuqxQdOFKSSq3AHYAZBHEbKQS7KeJHKICLgC8q08oB9QeNSer6v7VA8l9zfAAAAGWFRPi2QAABAMARzBFAiEA21+ZRK5Y+caOIES8eIoETUvmiDe80DJmTmLxxOYGHToCIGC7krPufA4d5WFzu/lLiKMMu6hnq/UGL1Br/cw3HL8dAHYASZybad4dfOz8Nt7Nh2SmuFuvCoeAGdFVUvvp6ynd+MMAAAGWFRPi6wAABAMARzBFAiBgPjEKdlQvFHLQGMGGgBneVPhrosM58at6gaL7WMhkGQIhAN9IWTwpjpQTj9+b4q+jX7BUW/TXSiuaUIy7VV0qjFZPMA0GCSqGSIb3DQEBCwUAA4IBAQAMWPwK2OrnjiZlRBPwmJogtWWkJzKEssdmsy/Gnj5iuhUDtcwnhmuWv12zO12+rukFBF8NIT4GHF04H3og0ob3MZgvNZOSYzYgVbKO7Wvw2gwoY4ZQKc+V61YxKVk0RD9uOgIp5LAZBz/uvcvljDqkpyMaOSkdTthm13j/xvkyIN419GC8NNG3/p0LvnrOfO2SvZ48tRoCBHksvsDQecfQcf0kg/BjZiat2AEI5jmUgO0qXKQoMS1mukvC8H4xnTS3W5uT7sL5GlQZJZrOsGAnnxcjfekvDJz55t79LLeDfhPuayusZyMPPsq4EwvdbUBNtbQcAj9Vs6cw5ec+z0T8\n-----END CERTIFICATE-----","",""
"cert_commonName","mssante.fr/51.178.173.194","443","OK","*.mssante.fr","",""
"cert_commonName_wo_SNI","mssante.fr/51.178.173.194","443","INFO","*.mssante.fr","",""
"cert_subjectAltName","mssante.fr/51.178.173.194","443","INFO","*.mssante.fr mssante.fr","",""
"cert_trust","mssante.fr/51.178.173.194","443","OK","Ok via SAN (same w/o SNI)","",""
