"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sas.sante.fr/185.231.164.110","443","INFO","HTTP","",""
"pre_128cipher","sas.sante.fr/185.231.164.110","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sas.sante.fr/185.231.164.110","443","OK","not offered","",""
"SSLv3","sas.sante.fr/185.231.164.110","443","OK","not offered","",""
"TLS1","sas.sante.fr/185.231.164.110","443","INFO","not offered","",""
"TLS1_1","sas.sante.fr/185.231.164.110","443","INFO","not offered","",""
"TLS1_2","sas.sante.fr/185.231.164.110","443","OK","offered","",""
"TLS1_3","sas.sante.fr/185.231.164.110","443","OK","offered with final","",""
"ALPN_HTTP2","sas.sante.fr/185.231.164.110","443","OK","h2","",""
"ALPN","sas.sante.fr/185.231.164.110","443","INFO","http/1.1","",""
"cipherlist_NULL","sas.sante.fr/185.231.164.110","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sas.sante.fr/185.231.164.110","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sas.sante.fr/185.231.164.110","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sas.sante.fr/185.231.164.110","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sas.sante.fr/185.231.164.110","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sas.sante.fr/185.231.164.110","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sas.sante.fr/185.231.164.110","443","INFO","not offered","",""
"cipherlist_STRONG_FS","sas.sante.fr/185.231.164.110","443","OK","offered","",""
"cipher_order-tls1_2","sas.sante.fr/185.231.164.110","443","OK","server","",""
"cipherorder_TLSv1_2","sas.sante.fr/185.231.164.110","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","sas.sante.fr/185.231.164.110","443","OK","server","",""
"FS","sas.sante.fr/185.231.164.110","443","OK","offered","",""
"FS_ciphers","sas.sante.fr/185.231.164.110","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_KEMs","sas.sante.fr/185.231.164.110","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","sas.sante.fr/185.231.164.110","443","OK","prime256v1 secp384r1 secp521r1","",""
